Name,Value,Value Type,Type,Discount Class,Minimum Purchase Requirements,Combines with Order Discounts,Combines with Product Discounts,Combines with Shipping Discounts,Customer Selection,Context,Times Used In Total,Applies Once Per Customer,Usage Limit Per Code,Status,Start,End
EBS10,-3.0,percentage,Amount Off,order,1000.0,,,,all,all,389,1,,Active,2024-05-11 14:34:24 +0530,
NEW5,-3.0,percentage,Amount Off,product,1000.0,,,,all,all,1605,1,,Active,2025-02-25 13:05:09 +0530,
Offer10,-5.0,percentage,Amount Off,product,,,,,all,all,0,,,Expired,2025-12-29 16:26:56 +0530,2026-04-21 16:38:01 +0530
EBS100,-100.0,fixed_amount,Amount Off,order,,,,,all,all,23,1,,Expired,2026-01-20 13:36:01 +0530,2026-04-21 16:37:25 +0530
TEST10,-2.0,percentage,Amount Off,order,1000.0,,,,all,all,0,1,,Expired,2026-04-07 16:16:16 +0530,2026-04-07 23:59:59 +0530
FIRST20,-20.0,percentage,Amount Off,order,1000.0,,,,all,all,79,1,,Active,2026-04-21 12:53:29 +0530,
Get Free Product,-100.0,percentage,Buy X Get Y,product,,,,,prerequisite,segment,2,1,,Expired,2026-04-21 13:09:53 +0530,2026-05-27 11:36:51 +0530
